date,retail_and_recreation_percent_change_from_baseline,ndti_change_from_baseline,ndvi_change_from_baseline,tmmx_change_from_baseline,Precipitation (mm/day)_change_from_baseline,aod_change_from_baseline,NO2_column_number_density_change_from_baseline,avg_rad_change_from_baseline
2019-03-09,,,,,-100.00000000000001,-35.796596902046254,-39.163520012229455,
2019-03-10,,,,,-100.00000000000001,-66.17754798127356,-17.62157719134551,
2019-03-11,,24.08707795865932,12.425086467171981,,-88.08968093345366,,-30.925895087219164,
2019-03-12,,,,,-84.63570616648637,-69.65257078663569,-46.8851439030431,
2019-03-13,,,,,48.523814613876574,,-41.83839487437109,
2019-03-14,,,,,14.959066486540813,,-63.38685472971678,
2019-03-15,,,,,-100.00000000000001,-41.33005482715261,-25.25518453229243,
2019-03-16,,65.91967561092771,26.149726656715792,,-91.01982268321652,-68.07226742620166,-25.676745908315738,
2019-03-17,,,,,-100.00000000000001,-54.38937484348261,-26.22930070096432,
2019-03-18,,,,,-100.00000000000001,-52.8932962408698,-11.68982129859671,
2019-03-19,,,,,-100.00000000000001,-61.48332780502803,-28.342427547876646,
2019-03-20,,,,,-100.00000000000001,-36.570008034412226,-16.824442794514038,
2019-03-21,,12.678312211278952,17.63971669481527,,-100.00000000000001,-48.17064979328679,-34.56088796864491,
2019-03-22,,,,,-100.00000000000001,-69.22174089734453,-40.121497761006374,
2019-03-23,,,,,-100.00000000000001,-77.54050006783153,-40.44259111135262,
2019-03-24,,,,,-99.6727468087814,-28.713638074540306,-47.51499077852344,
2019-03-25,,,,,-95.90286108076948,-46.936014820286324,-35.974770192172805,
2019-03-26,,29.12125987689031,32.83864843322297,,-100.00000000000001,-61.97158627800738,-28.508777419765245,
2019-03-27,,,,,-97.85044642701965,-55.335716332120924,,
2019-03-28,,,,,-100.00000000000001,-48.094090845221615,,
2019-03-29,,,,,-96.09458075724233,-35.76166477679032,-12.016501824677826,
2019-03-30,,,,,183.92391760050697,-46.666494896347835,23.659756114772904,
2019-03-31,,28.314582103882035,25.410107963262803,,-100.00000000000001,-70.13208463839212,-32.27184670414364,
2019-04-01,,,,56.49193774618577,-100.00000000000001,-86.47955556167983,-22.691952370361147,-6.777257046712377
2019-04-02,,,,,-100.00000000000001,-37.52561560891327,13.655640871714121,
2019-04-03,,,,,-99.30316454917939,-73.42549246177656,-17.703698071093708,
2019-04-04,,,,,-100.00000000000001,-50.813364149329054,-2.4236001212134033,
2019-04-05,,-1.6232041373909123,-13.101578878863902,,-67.59497634511611,-1.0569826055665825,21.230353059462683,
2019-04-06,,,,,-100.00000000000001,-35.736394257512664,-2.786063035809258,
2019-04-07,,,,,739.650313848213,97.78916143848431,-5.510213121440538,
2019-04-08,,,,,-100.00000000000001,-22.128993589971333,19.466491997282443,
2019-04-09,,,,,-100.00000000000001,-14.939344088964,13.76815549202699,
2019-04-10,,-5.259694266871631,-16.29262822004216,,-100.00000000000001,-38.485058827631605,-6.40149000686827,
2019-04-11,,,,,-100.00000000000001,-28.311783822138622,-11.242334314155206,
2019-04-12,,,,,-72.02397716536251,-37.83700914156105,-8.555427710535085,
2019-04-13,,,,,-100.00000000000001,-57.6580907078992,-33.045011406929724,
2019-04-14,,,,,-100.00000000000001,-28.95958690514373,-36.33607127617538,
2019-04-15,,-7.369962150672263,-18.66986784008084,,-56.7267228764773,-60.83288816153874,-25.87979830308425,
2019-04-16,,,,,225.66186985280015,,-31.193060138145693,
2019-04-17,,,,,771.312384922377,,-24.559817435121015,
