date,ndti,ndvi,tmmx,Precipitation (mm/day),aod,NO2_column_number_density,avg_rad,retail_and_recreation_percent_change_from_baseline
2017-02-12,,,,0.0,1167.9520488328124,,,
2017-02-13,,,,0.0,494.636949305072,,,
2017-02-14,,,,0.0353819131851196,520.2860843946455,,,
2017-02-15,,,,0.1380538642406463,466.3408512517432,,,
2017-02-16,,,,0.5660292506217957,,,,
2017-02-17,,,,0.8052534461021423,486.0512330909693,,,
2017-02-18,,,,0.0746450796723365,322.1780459455631,,,
2017-02-19,,,,0.0348839610815048,435.38809465365273,,,
2017-02-20,,,,0.0,476.2037385370693,,,
2017-02-21,,,,0.0,1277.686236425737,,,
2017-02-22,,,,0.0,451.8369220179469,,,
2017-02-23,,,,0.0,258.26775846188264,,,
2017-02-24,,,,0.0,166.69044606180125,,,
2017-02-25,,,,0.0,268.829985037458,,,
2017-02-26,,,,0.0016455458244308,320.5361167957657,,,
2017-02-27,,,,0.001634569838643,205.54883883583562,,,
2017-02-28,,,,0.1217861324548721,567.9736131183095,,,
2017-03-01,-0.09277480051074649,0.3343720351285577,306.7696049812767,0.0908003449440002,561.2018677810302,,30.061633316282173,
2017-03-02,,,,0.0081294737756252,966.3734507959498,,,
2017-03-03,,,,0.0985225439071655,208.56227344134663,,,
2017-03-04,,,,0.0,183.2238580294989,,,
2017-03-05,,,,0.0,225.26483583392076,,,
2017-03-06,,,,0.0042814873158931,345.82735940297596,,,
2017-03-07,,,,1.650158166885376,440.9984191084285,,,
2017-03-08,,,,3.282416582107544,435.44364766798253,,,
2017-03-09,,,,0.5231871604919434,983.4172880166473,,,
2017-03-10,,,,5.990775108337402,814.0001837793391,,,
2017-03-11,,,,0.7080569863319397,696.5951792419075,,,
2017-03-12,,,,0.0054315677843987,542.1463228705389,,,
2017-03-13,,,,0.0,351.717859459347,,,
2017-03-14,,,,0.0672977939248085,547.7043149669486,,,
2017-03-15,,,,0.2078368812799453,514.2205584599491,,,
2017-03-16,,,,0.2097829431295395,805.3752865801551,,,
2017-03-17,,,,0.0323736295104026,432.5744939202297,,,
