date,Precipitation (mm/day)
2018-04-12,0.07148412615060806
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.026803692802786827
2018-04-16,0.0016884396318346262
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0037515731528401375
2018-04-20,0.01713372766971588
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.002232440048828721
2018-04-26,0.0
2018-04-27,0.0007239611586555839
2018-04-28,0.0004349910013843328
2018-04-29,1.5972719192504883
2018-04-30,0.004386891610920429
2018-05-01,0.0
2018-05-02,2.776376247406006
2018-05-03,0.06810974329710007
2018-05-04,0.0
2018-05-05,0.0013336895499378443
2018-05-06,0.013433987274765968
2018-05-07,0.24085918068885803
2018-05-08,0.8553045988082886
2018-05-09,2.125394582748413
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.016228502616286278
2018-05-13,3.924762725830078
2018-05-14,0.0
2018-05-15,2.2212252616882324
2018-05-16,0.04315793886780739
2018-05-17,1.0734261274337769
2018-05-18,0.13001538813114166
2018-05-19,0.0004936224431730807
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0019345092587172985
2018-05-30,0.001127026742324233
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.6089076995849609
2018-06-07,0.0
2018-06-08,0.014668380841612816
2018-06-09,18.84398651123047
2018-06-10,0.0
2018-06-11,1.7173542801174335e-06
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,0.03772138059139252
2018-06-19,0.0
2018-06-20,0.012802844867110252
2018-06-21,0.0
2018-06-22,0.013991383835673332
2018-06-23,0.008705701678991318
2018-06-24,0.0003787520108744502
2018-06-25,0.20586681365966797
2018-06-26,1.6647207736968994
2018-06-27,40.654869079589844
2018-06-28,1.7011457681655884
2018-06-29,0.6304871439933777
2018-06-30,0.5258635878562927
2018-07-01,1.0711009502410889
2018-07-02,22.86758804321289
2018-07-03,0.26912006735801697
2018-07-04,0.2475624680519104
2018-07-05,0.2761944532394409
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.046193718910217285
2018-07-10,0.5320006012916565
2018-07-11,3.154550313949585
2018-07-12,10.09536361694336
2018-07-13,17.27938461303711
2018-07-14,2.445671796798706
2018-07-15,0.7418570518493652
2018-07-16,19.778823852539062
2018-07-17,1.5845290422439575
2018-07-18,4.256828308105469
2018-07-19,4.454857349395752
2018-07-20,17.481531143188477
2018-07-21,22.127994537353516
2018-07-22,16.392099380493164
2018-07-23,4.274594783782959
2018-07-24,1.0599699020385742
2018-07-25,12.124496459960938
2018-07-26,61.556549072265625
2018-07-27,19.994647979736328
2018-07-28,4.523812294006348
2018-07-29,2.3749592304229736
2018-07-30,0.6215227246284485
2018-07-31,5.597654342651367
2018-08-01,0.004910403862595558
2018-08-02,0.024049723520874977
2018-08-03,0.17057114839553833
2018-08-04,0.15582405030727386
2018-08-05,8.151875495910645
2018-08-06,8.70429515838623
2018-08-07,5.662779331207275
2018-08-08,1.2858526706695557
2018-08-09,0.0
2018-08-10,8.028533935546875
2018-08-11,1.7857325077056885
2018-08-12,0.6366104483604431
2018-08-13,0.15142855048179626
2018-08-14,0.001485620392486453
2018-08-15,2.186279058456421
2018-08-16,1.6866198778152466
2018-08-17,0.5952046513557434
2018-08-18,3.1062865257263184
2018-08-19,10.632020950317383
2018-08-20,2.083981513977051
2018-08-21,0.18729321658611298
2018-08-22,6.665674209594727
2018-08-23,12.965280532836914
2018-08-24,0.1578911393880844
2018-08-25,1.300410509109497
2018-08-26,0.008139058016240597
2018-08-27,10.464040756225586
2018-08-28,31.8565616607666
2018-08-29,10.029417991638184
2018-08-30,0.04256352782249451
2018-08-31,0.08829675614833832
2018-09-01,10.114201545715332
2018-09-02,5.831212997436523
2018-09-03,8.969305038452148
2018-09-04,18.704952239990234
2018-09-05,16.690101623535156
2018-09-06,17.88778305053711
2018-09-07,29.651121139526367
2018-09-08,6.24915885925293
2018-09-09,0.0041705407202243805
2018-09-10,0.0
2018-09-11,0.002569775562733412
2018-09-12,0.2460079938173294
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,28.86084747314453
2018-09-22,2.363633394241333
2018-09-23,24.343393325805664
2018-09-24,25.09593963623047
2018-09-25,0.0
2018-09-26,0.007009919732809067
2018-09-27,0.0
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.0
2018-10-02,0.3414687514305115
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,0.0
2018-10-13,0.0
2018-10-14,0.0
2018-10-15,0.0
2018-10-16,6.050354957580566
2018-10-17,0.0
2018-10-18,0.14104482531547546
2018-10-19,0.0
2018-10-20,0.0
2018-10-21,0.5485017895698547
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,0.0
2018-10-30,0.0
2018-10-31,0.0
2018-11-01,0.00023502785188611597
2018-11-02,0.014907453209161758
2018-11-03,0.2574266493320465
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-10,0.0
2018-11-11,0.0
2018-11-12,0.0
2018-11-13,10.09666633605957
2018-11-14,0.5517511367797852
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,0.3224310576915741
2018-11-19,0.303236186504364
2018-11-20,0.0
2018-11-21,0.0
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,0.0
2018-11-27,0.08242353796958923
2018-11-28,0.00559571385383606
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,0.0
2018-12-11,0.27675914764404297
2018-12-12,0.3260643482208252
2018-12-13,0.041805725544691086
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,4.813930900127161e-06
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.06979090720415115
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.4877435564994812
2019-01-05,0.495628297328949
2019-01-06,2.745605945587158
2019-01-07,0.021594669669866562
2019-01-08,0.09196452796459198
2019-01-09,0.0
2019-01-10,0.0007375920540653169
2019-01-11,0.0
2019-01-12,0.044025130569934845
2019-01-13,0.0
2019-01-14,0.0
2019-01-15,0.10299921035766602
2019-01-16,0.24627430737018585
2019-01-17,0.0
2019-01-18,0.18808259069919586
2019-01-19,0.15869927406311035
2019-01-20,0.010756774805486202
2019-01-21,17.54356575012207
2019-01-22,2.0694756507873535
2019-01-23,0.0
2019-01-24,3.299635887145996
2019-01-25,0.0
2019-01-26,0.0
2019-01-27,0.004644404631108046
2019-01-28,0.0
2019-01-29,0.04724652320146561
2019-01-30,0.758942723274231
2019-01-31,0.33230164647102356
2019-02-01,0.033100374042987823
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,0.0001236440148204565
2019-02-05,0.001248544896952808
2019-02-06,0.05261221528053284
2019-02-07,8.016200065612793
2019-02-08,0.0
2019-02-09,0.0
2019-02-10,0.14710381627082825
2019-02-11,0.5735956430435181
2019-02-12,0.7307975888252258
2019-02-13,0.6792855858802795
